City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
603,Jardim,BR,80.44,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
608,Pangai,TO,87.91,few clouds,-19.8,-174.35,Ha'apai Beach Resort
610,Belmonte,BR,79.05,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
617,Gold Coast,AU,83.3,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
618,Aloleng,PH,75.25,overcast clouds,16.1307,119.7824,Aloleng
621,Berbera,SO,73.83,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
624,Iquitos,PE,77.04,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
627,Tetiz,MX,87.89,scattered clouds,20.9667,-89.9333,LAS CABAÑAS DE XOCHITL
631,Lobito,AO,78.42,few clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
638,Hualmay,PE,72.97,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
640,Karratha,AU,85.37,clear sky,-20.7377,116.8463,ibis Styles Karratha
651,Machaneng,BW,72.5,few clouds,-23.1862,27.4886,BushBabies
655,Perth,AU,70.66,clear sky,-31.9333,115.8333,Quest on Rheola
