City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
492,Gainesville,US,29.6516,-82.3248,65.75,68,0,9.22,clear sky
493,Swan River,CA,52.1058,-101.2676,4.89,85,98,1.14,overcast clouds
494,Namatanai,PG,-3.6667,152.4333,82.94,70,100,6.6,overcast clouds
495,Mana,GF,5.6592,-53.7767,74.01,82,14,8.21,few clouds
496,Fort Stewart,US,31.8722,-81.61,57.29,75,0,6.91,clear sky
497,Rabo De Peixe,PT,37.8,-25.5833,56.71,88,20,6.91,few clouds
498,Husavik,IS,66.0449,-17.3389,34.0,94,83,6.53,light snow
499,Komsomolskiy,UZ,40.4272,71.7189,20.12,86,100,2.3,mist
500,Mulanje,MW,-16.0316,35.5,69.06,84,100,3.83,overcast clouds
501,Skjervoy,NO,70.0311,20.9714,35.6,79,100,10.16,light rain
502,Luba,GQ,3.4568,8.5547,78.69,80,7,5.3,clear sky
503,Marathon,US,44.9,-89.7668,28.15,79,75,4.61,broken clouds
504,Yerbogachen,RU,61.2767,108.0108,-30.26,95,100,2.91,overcast clouds
505,Arman,RU,59.7,150.1667,-1.98,93,100,11.79,overcast clouds
506,Talakan,RU,50.3167,130.3667,-39.66,100,62,1.63,broken clouds
507,General Pico,AR,-35.6566,-63.7568,84.63,30,10,17.47,clear sky
508,Cumbitara,CO,1.6517,-77.5823,72.72,92,82,4.05,moderate rain
509,Catamarca,AR,-28.4696,-65.7852,95.77,32,19,5.01,few clouds
510,Celestun,MX,20.8667,-90.4,79.03,76,15,8.25,few clouds
511,Lahaina,US,20.8783,-156.6825,78.94,74,8,7.54,light rain
512,Camopi,GF,3.1655,-52.3158,70.99,96,34,4.54,scattered clouds
513,Goure,NE,13.9835,10.2704,69.87,13,83,8.25,broken clouds
514,Axim,GH,4.8699,-2.2405,79.38,86,4,4.74,clear sky
515,Mandalgovi,MN,45.7625,106.2708,-2.16,70,68,9.93,broken clouds
516,Camapua,BR,-19.5314,-54.0439,74.35,89,100,2.08,overcast clouds
517,Otuzco,PE,-7.9,-78.5833,52.34,87,74,4.72,light rain
518,Taltal,CL,-25.4,-70.4833,71.1,77,24,5.39,few clouds
519,Buraydah,SA,26.326,43.975,55.85,75,38,12.75,scattered clouds
520,Santa Cruz De La Palma,ES,28.6835,-17.7642,64.54,68,75,12.66,broken clouds
521,Lotofaga,WS,-13.9764,-171.8578,87.58,74,18,14.14,few clouds
522,Saldanha,ZA,-33.0117,17.9442,59.05,63,36,16.82,scattered clouds
523,Kieta,PG,-6.2167,155.6333,78.64,79,100,1.81,overcast clouds
524,Yulara,AU,-25.2406,130.9889,82.36,18,98,16.24,overcast clouds
525,Tamasane,BW,-22.4184,27.4013,68.11,76,67,0.98,broken clouds
526,Mahibadhoo,MV,3.7833,72.9667,79.27,80,100,11.1,overcast clouds
527,Pital,CO,2.2665,-75.8044,73.38,77,85,6.11,overcast clouds
528,Campina Verde,BR,-19.5356,-49.4864,71.24,93,99,2.3,overcast clouds
529,Khorixas,NA,-20.3667,14.9667,68.68,55,26,8.16,scattered clouds
